"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"14859"	4940	5473	2224	3026	3686	3813	3130	3438	3241	1157	9572	1082	5529	4894
"241041"	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"368204"	72	59	107	362	43	44	97	368	22	12	89	8	155	222
"433278"	7	6	17	60	5	8	23	51	1	2	18	0	24	36
"98582"	1	0	0	1	1	0	1	2	0	0	0	0	0	1
"226922"	0	0	1	13	1	0	0	6	0	0	13	0	0	38
"116837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"66755"	1	0	0	0	0	0	1	0	0	0	1	0	0	1
"387225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"723964"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"70155"	49	15	10	8	29	10	18	32	14	11	8	1	10	7
"100503399"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"280645"	26	33	24	14	11	25	22	33	19	13	28	2	35	46
"98366"	1166	1839	1050	1200	1082	1350	1172	2279	1179	1096	1109	843	1307	1215
"68002"	214	204	109	167	130	203	324	132	277	97	239	25	225	210
"68187"	2910	4218	2586	3063	2316	3163	2312	5531	3724	2736	2700	854	3317	2262
"12839"	38	7	6	5	51	17	14	30	123	26	2	0	18	2
"12823"	0	0	0	0	0	0	0	2	1	0	0	0	0	0
"68421"	1212	2243	898	1666	970	1681	1431	2314	1643	1004	1445	410	1925	1994
"210933"	6	5	5	4	5	12	5	12	14	5	1	0	12	2
"100504323"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"210940"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"433281"	0	0	1	0	0	0	0	0	0	0	0	0	1	2
"665903"	158	73	73	107	111	89	177	97	135	51	207	6	119	100
"210962"	0	5	0	0	0	0	0	0	0	0	0	4	0	1
"623924"	1	1	0	0	0	0	1	0	0	0	1	0	1	0
"791350"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"213109"	3116	6101	4621	6450	2769	3766	4023	14011	4305	5052	5251	2995	5192	5602
"19243"	794	928	465	722	538	558	661	859	706	357	617	117	853	666
